date,open,high,low,close
2021-06-08,22.02,22.02,21.55,21.55
2021-06-09,22.25,22.25,21.17,21.38
2021-06-10,22.05,22.05,21.24,21.24
2021-06-11,21.5,21.64,20.88,20.88
2021-06-14,21.12,21.47,21.08,21.47
2021-06-15,21.29,21.29,21.01,21.21
2021-06-16,20.81,20.98,20.4,20.44
2021-06-17,20.12,21.03,19.84,20.14
2021-06-18,20.16,20.87,19.38,19.7
2021-06-21,19.5,20.5,19.5,20.11
2021-06-22,19.85,20.37,19.85,20.26
2021-06-23,20.27,20.64,19.84,19.84
2021-06-24,20.24,20.24,20.11,20.11
2021-06-25,20.44,20.8,19.87,19.87
2021-06-28,20.62,20.62,19.65,19.65
2021-06-29,20.73,20.86,20.08,20.61
2021-06-30,20.18,20.74,20.1234,20.32
2021-07-01,20.27,20.97,19.82,20.97
2021-07-02,20.39,20.727,20.27,20.27
2021-07-06,20.31,20.51,19.7,20.51
2021-07-07,20.03,20.99,19.39,20.2
2021-07-08,19.14,20.65,19.14,19.85
2021-07-09,19.63,20.58,19.63,20.06
2021-07-12,20.72,20.72,19.83,20.31
2021-07-13,19.47,20.22,19.47,20.22
2021-07-14,19.57,20.51,19.57,19.61
2021-07-15,19.7717,19.8735,19.03,19.85
2021-07-16,19.93,19.93,19.55,19.68
2021-07-19,19.1395,19.22,19.02,19.22
2021-07-20,18.79,19.3,18.48,19.3
2021-07-21,19.02,19.57,19.02,19.3
2021-07-22,19.67,19.67,18.15,18.7
2021-07-23,18.4,19.161,18.4,18.7
2021-07-26,19.11,19.44,19.11,19.37
2021-07-27,19.1,19.1,18.061,18.48
2021-07-28,18.2913,18.8,18.2913,18.31
2021-07-29,19.16,19.4,18.57,18.6
2021-07-30,18.7,19.14,17.93,17.93
2021-08-02,18.61,18.61,18.41,18.41
2021-08-03,18.6,18.6,17.46,17.46
2021-08-04,17.76,17.92,17.3,17.81
2021-08-05,17.14,18.278,17.14,17.95
2021-08-06,17.91,18.13,17.57,17.57
2021-08-09,17.64,17.9,17,17
2021-08-10,17.47,17.64,17.08,17.36
2021-08-11,17.46,17.46,16.976,17.22
2021-08-12,14.8,15.13,13.47,14.44
2021-08-13,14,14.3,13.49,13.49
2021-08-16,13.93,14.5,13.55,14.5
2021-08-17,13.91,14.06,13.82,14.06
2021-08-18,13.88,13.88,13.39,13.6
2021-08-19,13.52,14.2,13.22,13.33
2021-08-20,13.23,13.83,13.23,13.83
2021-08-23,13.56,13.92,13.33,13.7
2021-08-24,13.8,14.36,13.68,14.36
2021-08-25,14.4,14.4,13.62,13.62
2021-08-26,14.16,14.16,13.47,13.97
2021-08-27,14.15,14.31,13.516,14
2021-08-30,13.77,14.9447,13.77,14.4
2021-08-31,14.57,14.59,13.78,14.08
2021-09-01,14.5,14.5,13.85,14.4
2021-09-02,14.5,15,14.2,14.35
2021-09-03,14.8,14.8,14.44,14.44
2021-09-07,14.59,14.86,14.59,14.86
2021-09-08,14.96,14.97,14.15,14.9
2021-09-09,14.92,15.15,14.47,14.54
2021-09-10,14.82,14.94,14.29,14.86
2021-09-13,15.28,15.88,14.88,15
2021-09-14,15.4,15.4,15.02,15.3
2021-09-15,14.68,15.26,14.67,14.67
2021-09-16,14.87,15.9,14.62,15.61
2021-09-17,15.848,16.42,15.26,15.45
2021-09-20,14.65,14.82,14,14
2021-09-21,14.12,14.53,14.08,14.53
2021-09-22,14.48,14.85,14.3,14.3
2021-09-23,14.8,14.8,14.44,14.44
2021-09-24,14.2,14.79,14.06,14.3
2021-09-27,14.54,14.54,14.06,14.42
2021-09-28,14.71,14.71,13.96,14.18
2021-09-29,14.01,14.65,14.01,14.65
2021-09-30,14.35,15.05,14.25,14.25
2021-10-01,14.45,15.16,14.45,14.59
2021-10-04,14.74,15.19,14.27,14.36
2021-10-05,14.95,15.1,14.2,14.73
2021-10-06,14.66,15.48,14.25,15.48
2021-10-07,14.95,15.3306,14.77,14.77
2021-10-08,14.71,15.58,14.71,15
2021-10-11,15,16,15,15.76
2021-10-12,15.19,15.7,15.19,15.53
2021-10-13,15.8,15.8,15.2,15.76
2021-10-14,15.52,15.68,15.4,15.4
2021-10-15,15.22,16,15.12,15.12
2021-10-18,14.96,15.23,14,14
2021-10-19,14.35,14.94,14.35,14.94
2021-10-20,15.04,15.04,14.54,14.9
2021-10-21,14.96,15.34,14.46,15.34
2021-10-22,14.8,15.44,14.8,15
2021-10-25,15.12,15.398,14.64,15.22
2021-10-26,14.92,15.3436,14.59,14.59
2021-10-27,14.78,14.78,14.26,14.26
2021-10-28,14.54,14.74,13.8,14.1
2021-10-29,14.14,14.14,13.84,13.84
2021-11-01,13.85,14.0478,13.6,13.73
2021-11-02,14.26,14.26,13.71,13.79
2021-11-03,13.62,14.62,13.62,14.62
2021-11-04,14.6,15.3,14.3256,14.84
2021-11-05,15.14,15.14,14.34,14.73
2021-11-08,15.02,15.2,14.52,15.2
